timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631701739075,75,Sign in,308,Permanent Redirect,Amazon testing 1-10,,true,,677,515,17,17,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,75,0,38
1631701739072,94,Cart,308,Permanent Redirect,Amazon testing 1-12,,true,,312,150,17,17,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,94,0,42
1631701739088,85,Cart,308,Permanent Redirect,Amazon testing 1-3,,true,,312,150,17,17,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,85,0,41
1631701739100,75,Search,308,Permanent Redirect,Amazon testing 1-8,,true,,308,146,17,17,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,75,0,38
1631701739100,77,Cart,308,Permanent Redirect,Amazon testing 1-13,,true,,312,150,17,17,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,77,0,40
1631701739113,77,Home,308,Permanent Redirect,Amazon testing 1-6,,true,,281,119,18,18,http://www.amazon.com/,77,0,40
1631701739130,83,Cart,308,Permanent Redirect,Amazon testing 1-14,,true,,312,150,18,18,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,83,0,44
1631701739130,91,Sign in,308,Permanent Redirect,Amazon testing 1-1,,true,,677,515,19,19,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,91,0,48
1631701739181,76,Home,308,Permanent Redirect,Amazon testing 1-18,,true,,281,119,20,20,http://www.amazon.com/,76,0,37
1631701739191,86,Cart,308,Permanent Redirect,Amazon testing 1-6,,true,,312,150,20,20,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,86,0,45
1631701739213,75,Sign in,308,Permanent Redirect,Amazon testing 1-14,,true,,677,515,21,21,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,75,0,38
1631701739246,87,Home,308,Permanent Redirect,Amazon testing 1-20,,true,,281,119,22,22,http://www.amazon.com/,87,0,45
1631701739257,82,Cart,308,Permanent Redirect,Amazon testing 1-18,,true,,312,150,22,22,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,82,0,41
1631701739288,83,Search,308,Permanent Redirect,Amazon testing 1-14,,true,,308,146,23,23,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,83,0,41
1631701739313,81,Home,308,Permanent Redirect,Amazon testing 1-22,,true,,281,119,24,24,http://www.amazon.com/,81,0,40
1631701739333,80,Cart,308,Permanent Redirect,Amazon testing 1-20,,true,,312,150,25,25,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,80,0,39
1631701739339,82,Sign in,308,Permanent Redirect,Amazon testing 1-18,,true,,677,515,25,25,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,82,0,40
1631701739347,85,Home,308,Permanent Redirect,Amazon testing 1-23,,true,,281,119,25,25,http://www.amazon.com/,85,0,44
1631701739080,374,Home,308,Permanent Redirect,Amazon testing 1-5,,true,,281,119,26,26,http://www.amazon.com/,374,0,49
1631701739078,376,Cart,308,Permanent Redirect,Amazon testing 1-2,,true,,312,150,26,26,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,376,0,51
1631701739081,373,Home,308,Permanent Redirect,Amazon testing 1-15,,true,,281,119,26,26,http://www.amazon.com/,373,0,48
1631701739379,80,Home,308,Permanent Redirect,Amazon testing 1-24,,true,,281,119,26,26,http://www.amazon.com/,80,0,41
1631701739394,79,Cart,308,Permanent Redirect,Amazon testing 1-22,,true,,312,150,26,26,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,79,0,41
1631701739432,84,Cart,308,Permanent Redirect,Amazon testing 1-23,,true,,312,150,28,28,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,84,0,43
1631701739511,83,Home,308,Permanent Redirect,Amazon testing 1-28,,true,,281,119,30,30,http://www.amazon.com/,83,0,45
1631701739546,81,Home,308,Permanent Redirect,Amazon testing 1-29,,true,,281,119,30,30,http://www.amazon.com/,81,0,41
1631701739578,81,Home,308,Permanent Redirect,Amazon testing 1-30,,true,,281,119,30,30,http://www.amazon.com/,81,0,39
1631701739594,81,Cart,308,Permanent Redirect,Amazon testing 1-28,,true,,312,150,30,30,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,81,0,40
